
async_vm_maximise_memory,miami
vm_migrate_send,tampa
async_vm_migrate_send,tampa
vm_assert_can_migrate,tampa
async_vm_assert_can_migrate,tampa
vm_get_boot_record,rio
vm_get_data_sources,orlando
vm_record_data_source,orlando
vm_query_data_source,orlando
vm_forget_data_source_archives,orlando
vm_assert_operation_valid,rio
async_vm_assert_operation_valid,rio
vm_update_allowed_operations,rio
async_vm_update_allowed_operations,rio
vm_get_allowed_vbd_devices,rio
vm_get_allowed_vif_devices,rio
vm_get_possible_hosts,rio
async_vm_get_possible_hosts,rio
vm_assert_can_boot_here,rio
async_vm_assert_can_boot_here,rio
vm_create_new_blob,orlando
async_vm_create_new_blob,orlando
vm_assert_agile,orlando
async_vm_assert_agile,orlando
vm_retrieve_wlb_recommendations,george
async_vm_retrieve_wlb_recommendations,george
vm_copy_bios_strings,midnight-ride
async_vm_copy_bios_strings,midnight-ride
vm_set_protection_policy,orlando
vm_set_start_delay,boston
async_vm_set_start_delay,boston
vm_set_shutdown_delay,boston
async_vm_set_shutdown_delay,boston
vm_set_order,boston
async_vm_set_order,boston
vm_set_suspend_vdi,boston
async_vm_set_suspend_vdi,boston
vm_assert_can_be_recovered,boston
async_vm_assert_can_be_recovered,boston
vm_recover,boston
async_vm_recover,boston
vm_import_convert,tampa
async_vm_import_convert,tampa
vm_set_appliance,boston
async_vm_set_appliance,boston
vm_query_services,tampa
async_vm_query_services,tampa
vmpp_protect_now,cowley
vmpp_archive_now,cowley
vmpp_get_alerts,cowley
vmpp_set_backup_retention_value,cowley
vmpp_set_backup_frequency,cowley
vmpp_set_backup_schedule,cowley
vmpp_set_archive_frequency,cowley
vmpp_set_archive_schedule,cowley
vmpp_set_archive_target_type,cowley
vmpp_set_archive_target_config,cowley
vmpp_set_is_alarm_enabled,cowley
vmpp_set_alarm_config,cowley
vmpp_add_to_backup_schedule,cowley
vmpp_add_to_archive_target_config,cowley
vmpp_add_to_archive_schedule,cowley
vmpp_add_to_alarm_config,cowley
vmpp_remove_from_backup_schedule,cowley
vmpp_remove_from_archive_target_config,cowley
vmpp_remove_from_archive_schedule,cowley
vmpp_remove_from_alarm_config,cowley
vmpp_set_backup_last_run_time,cowley
vmpp_set_archive_last_run_time,cowley
vm_appliance_start,boston
async_vm_appliance_start,boston
vm_appliance_clean_shutdown,boston
async_vm_appliance_clean_shutdown,boston
vm_appliance_hard_shutdown,boston
async_vm_appliance_hard_shutdown,boston
vm_appliance_shutdown,boston
async_vm_appliance_shutdown,boston
vm_appliance_assert_can_be_recovered,boston
async_vm_appliance_assert_can_be_recovered,boston
vm_appliance_recover,boston
async_vm_appliance_recover,boston
dr_task_create,boston
async_dr_task_create,boston
dr_task_destroy,boston
async_dr_task_destroy,boston
host_disable,rio
async_host_disable,rio
host_enable,rio
async_host_enable,rio
host_shutdown,rio
async_host_shutdown,rio
host_reboot,rio
async_host_reboot,rio
host_dmesg,rio
async_host_dmesg,rio
host_dmesg_clear,rio
async_host_dmesg_clear,rio
host_get_log,rio
async_host_get_log,rio
host_send_debug_keys,rio
async_host_send_debug_keys,rio
host_bugreport_upload,rio
async_host_bugreport_upload,rio
host_list_methods,rio
host_license_apply,rio
async_host_license_apply,rio
host_destroy,rio
async_host_destroy,rio
host_power_on,orlando
async_host_power_on,orlando
host_emergency_ha_disable,orlando
host_get_data_sources,orlando
host_record_data_source,orlando
host_query_data_source,orlando
host_forget_data_source_archives,orlando
host_assert_can_evacuate,miami
async_host_assert_can_evacuate,miami
host_get_vms_which_prevent_evacuation,orlando
async_host_get_vms_which_prevent_evacuation,orlando
host_get_uncooperative_resident_vms,midnight-ride
async_host_get_uncooperative_resident_vms,midnight-ride
host_evacuate,miami
async_host_evacuate,miami
host_syslog_reconfigure,miami
async_host_syslog_reconfigure,miami
host_management_reconfigure,miami
async_host_management_reconfigure,miami
host_local_management_reconfigure,miami
host_management_disable,miami
host_get_system_status_capabilities,miami
host_restart_agent,rio
async_host_restart_agent,rio
host_shutdown_agent,orlando
host_set_hostname_live,miami
host_compute_free_memory,orlando
async_host_compute_free_memory,orlando
host_compute_memory_overhead,midnight-ride
async_host_compute_memory_overhead,midnight-ride
host_sync_data,orlando
host_backup_rrds,orlando
host_create_new_blob,orlando
async_host_create_new_blob,orlando
host_call_plugin,orlando
async_host_call_plugin,orlando
host_get_servertime,orlando
host_get_server_localtime,cowley
host_enable_external_auth,george
host_disable_external_auth,george
host_retrieve_wlb_evacuate_recommendations,george
async_host_retrieve_wlb_evacuate_recommendations,george
host_get_server_certificate,george
async_host_get_server_certificate,george
host_apply_edition,midnight-ride
host_refresh_pack_info,midnight-ride
async_host_refresh_pack_info,midnight-ride
host_set_power_on_mode,midnight-ride
async_host_set_power_on_mode,midnight-ride
host_set_cpu_features,midnight-ride
host_reset_cpu_features,midnight-ride
host_enable_local_storage_caching,cowley
host_disable_local_storage_caching,cowley
host_migrate_receive,tampa
async_host_migrate_receive,tampa
host_crashdump_destroy,rio
async_host_crashdump_destroy,rio
host_crashdump_upload,rio
async_host_crashdump_upload,rio
host_patch_destroy,rio
async_host_patch_destroy,rio
host_patch_apply,rio
async_host_patch_apply,rio
network_create_new_blob,orlando
async_network_create_new_blob,orlando
network_set_default_locking_mode,tampa
async_network_set_default_locking_mode,tampa
vif_plug,rio
async_vif_plug,rio
vif_unplug,rio
async_vif_unplug,rio
vif_unplug_force,boston
async_vif_unplug_force,boston
vif_set_locking_mode,tampa
async_vif_set_locking_mode,tampa
vif_set_ipv4_allowed,tampa
async_vif_set_ipv4_allowed,tampa
vif_add_ipv4_allowed,tampa
async_vif_add_ipv4_allowed,tampa
vif_remove_ipv4_allowed,tampa
async_vif_remove_ipv4_allowed,tampa
vif_set_ipv6_allowed,tampa
async_vif_set_ipv6_allowed,tampa
vif_add_ipv6_allowed,tampa
async_vif_add_ipv6_allowed,tampa
vif_remove_ipv6_allowed,tampa
async_vif_remove_ipv6_allowed,tampa
pif_create_vlan,rio
async_pif_create_vlan,rio
pif_destroy,rio
async_pif_destroy,rio
pif_reconfigure_ip,miami
async_pif_reconfigure_ip,miami
pif_scan,miami
async_pif_scan,miami
pif_introduce,miami
async_pif_introduce,miami
pif_forget,miami
async_pif_forget,miami
pif_unplug,miami
async_pif_unplug,miami
pif_plug,miami
async_pif_plug,miami
pif_db_introduce,orlando
async_pif_db_introduce,orlando
pif_db_forget,orlando
async_pif_db_forget,orlando
bond_create,miami
async_bond_create,miami
bond_destroy,miami
